id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game_id,player_id,team_id
12690447,14,1,1,0.5,4,2,0.556,9,5,0.75,4,3,33,0,0,15,1,0,2,858258,3547245,12
12690448,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858258,666468,12
12690449,1,0,2,0.333,3,1,0.4,5,2,1.0,1,1,15,0,2,6,2,0,0,858258,17896030,12
12690450,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858258,211,12
12690451,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858258,17896035,12
12690452,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858258,242,12
12695827,5,0,6,0.444,9,4,0.538,13,7,0.75,4,3,38,2,0,21,8,4,3,858265,131,10
12695828,1,0,5,1.0,1,1,0.5,10,5,1.0,2,2,27,0,1,13,5,1,3,858265,17553979,10
12695829,2,1,10,,0,0,0.667,6,4,0.571,7,4,32,7,5,12,17,0,0,858265,282,10
12695830,4,0,5,0.429,14,6,0.522,23,12,1.0,2,2,33,0,3,32,5,0,3,858265,443,10
12695831,4,1,2,0.125,8,1,0.25,20,5,0.8,5,4,35,1,4,15,3,2,4,858265,666848,10
12695832,0,0,3,0.333,3,1,0.25,4,1,,0,0,13,0,0,3,3,0,0,858265,38017704,10
12695834,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,224,10
12695835,4,0,3,0.0,1,0,0.2,5,1,0.0,0,0,21,1,3,2,4,3,0,858265,666676,10
12695836,2,2,4,0.5,2,1,0.6,5,3,0.0,0,0,25,3,3,7,7,0,1,858265,7155648,10
12695837,0,0,1,0.0,1,0,0.0,1,0,0.0,0,0,04,0,0,0,1,1,0,858265,17553992,10
12695838,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,38017712,10
12695848,1,1,3,0.333,6,2,0.333,12,4,,0,0,21,1,1,10,4,0,2,858265,666400,18
12695849,0,0,1,0.0,0,0,1.0,1,1,1.0,5,5,04,2,2,7,3,0,1,858265,17896056,18
12695850,0,1,1,0.0,0,0,1.0,1,1,0.5,2,1,08,1,1,3,2,0,1,858265,3547295,18
12695851,2,0,3,0.333,3,1,0.333,3,1,0.0,1,0,15,1,0,3,4,0,2,858265,666767,18
12695852,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,38017715,18
12695853,0,0,0,0.4,5,2,0.25,8,2,0.0,4,0,21,1,2,6,1,0,0,858265,393,18
12695854,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,17896017,18
12695855,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,176,18
12695856,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,38017700,18
12695857,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,666809,18
12695858,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,383,18
12695859,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858265,447,18
