,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team_id,visitor_team_id,home_team_abr,visitor_team_abr,home_team_abr.1,visitor_team_abr.1,home_team_abr.2,visitor_team_abr.2,home_team_abr.3,visitor_team_abr.3,home_team_abr,visitor_team_abr
148,857410,2022-10-26T00:00:00.000Z,98,4,False,2022,Final,Final,119,25,16,POR,MIA,POR,MIA,POR,MIA,POR,MIA,POR,MIA
149,858055,2023-01-22T00:00:00.000Z,116,4,False,2022,Final,Final,120,10,3,GSW,BKN,GSW,BKN,GSW,BKN,GSW,BKN,GSW,BKN
150,858047,2023-01-21T00:00:00.000Z,114,4,False,2022,Final,Final,102,6,17,CLE,MIL,CLE,MIL,CLE,MIL,CLE,MIL,CLE,MIL
151,858063,2023-01-23T00:00:00.000Z,133,4,False,2022,Final,Final,100,26,15,SAC,MEM,SAC,MEM,SAC,MEM,SAC,MEM,SAC,MEM
152,858072,2023-01-24T00:00:00.000Z,128,4,False,2022,Final,Final,97,24,4,PHX,CHA,PHX,CHA,PHX,CHA,PHX,CHA,PHX,CHA
153,858077,2023-01-25T00:00:00.000Z,137,4,False,2022,Final,Final,133,23,3,PHI,BKN,PHI,BKN,PHI,BKN,PHI,BKN,PHI,BKN
154,858085,2023-01-26T00:00:00.000Z,111,4,False,2022,Final,Final,96,4,5,CHA,CHI,CHA,CHI,CHA,CHI,CHA,CHI,CHA,CHI
155,858159,2023-02-05T00:00:00.000Z,128,4,False,2022,Final,Final,98,18,8,MIN,DEN,MIN,DEN,MIN,DEN,MIN,DEN,MIN,DEN
156,858163,2023-02-06T00:00:00.000Z,116,4,False,2022,Final,Final,124,3,13,BKN,LAC,BKN,LAC,BKN,LAC,BKN,LAC,BKN,LAC
157,858173,2023-02-07T00:00:00.000Z,104,4,False,2022,Final,Final,89,15,5,MEM,CHI,MEM,CHI,MEM,CHI,MEM,CHI,MEM,CHI
158,858188,2023-02-09T00:00:00.000Z,106,4,False,2022,Final,Final,115,14,17,LAL,MIL,LAL,MIL,LAL,MIL,LAL,MIL,LAL,MIL
159,858201,2023-02-11T00:00:00.000Z,127,4,False,2022,Final,Final,113,30,12,WAS,IND,WAS,IND,WAS,IND,WAS,IND,WAS,IND
160,858220,2023-02-13T00:00:00.000Z,117,4,False,2022,Final,Final,123,12,29,IND,UTA,IND,UTA,IND,UTA,IND,UTA,IND,UTA
161,858226,2023-02-14T00:00:00.000Z,134,4,False,2022,Final,Final,124,13,10,LAC,GSW,LAC,GSW,LAC,GSW,LAC,GSW,LAC,GSW
