,Unnamed: 0,id,date,home_team_score,period,postseason,season,visitor_team_score,home_team_id,visitor_team_id,visitor_team_name,visitor_team_name,home_team_name
110,110,857378,2022-10-21,126,5,False,2022,132,18,29,Utah Jazz,Utah Jazz,Minnesota Timberwolves
111,111,857377,2022-10-21,123,4,False,2022,128,10,8,Denver Nuggets,Denver Nuggets,Golden State Warriors
112,112,857372,2022-10-21,130,4,False,2022,106,20,9,Detroit Pistons,Detroit Pistons,New York Knicks
113,113,857388,2022-10-22,122,4,False,2022,117,8,21,Oklahoma City Thunder,Oklahoma City Thunder,Denver Nuggets
114,114,857385,2022-10-22,120,4,False,2022,126,22,2,Boston Celtics,Boston Celtics,Orlando Magic
115,115,857382,2022-10-22,105,4,False,2022,114,23,27,San Antonio Spurs,San Antonio Spurs,Philadelphia 76ers
116,116,857389,2022-10-22,125,4,False,2022,105,17,11,Houston Rockets,Houston Rockets,Milwaukee Bucks
117,117,857383,2022-10-22,96,4,False,2022,128,5,6,Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls
118,118,857390,2022-10-22,137,4,False,2022,96,7,15,Memphis Grizzlies,Memphis Grizzlies,Dallas Mavericks
119,119,857386,2022-10-22,124,4,False,2022,115,12,9,Detroit Pistons,Detroit Pistons,Indiana Pacers
120,120,857387,2022-10-22,109,4,False,2022,111,26,13,LA Clippers,LA Clippers,Sacramento Kings
121,121,857384,2022-10-22,112,4,False,2022,109,16,28,Toronto Raptors,Toronto Raptors,Miami Heat
122,122,857391,2022-10-23,104,4,False,2022,106,14,25,Portland Trail Blazers,Portland Trail Blazers,Los Angeles Lakers
123,123,857396,2022-10-23,106,4,False,2022,116,21,18,Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder
124,124,857394,2022-10-23,121,5,False,2022,122,19,29,Utah Jazz,Utah Jazz,New Orleans Pelicans
125,125,857392,2022-10-23,109,4,False,2022,126,1,4,Charlotte Hornets,Charlotte Hornets,Atlanta Hawks
126,126,857397,2022-10-23,130,4,False,2022,125,10,26,Sacramento Kings,Sacramento Kings,Golden State Warriors
127,127,857395,2022-10-23,95,4,False,2022,112,13,24,Phoenix Suns,Phoenix Suns,LA Clippers
128,128,857393,2022-10-23,117,5,False,2022,107,6,30,Washington Wizards,Washington Wizards,Cleveland Cavaliers
129,129,857401,2022-10-24,106,4,False,2022,115,18,27,San Antonio Spurs,San Antonio Spurs,Minnesota Timberwolves
130,130,857398,2022-10-24,114,4,False,2022,108,11,29,Utah Jazz,Utah Jazz,Houston Rockets
131,131,857406,2022-10-25,108,4,False,2022,94,21,13,LA Clippers,LA Clippers,Oklahoma City Thunder
132,132,857399,2022-10-24,90,4,False,2022,98,16,28,Toronto Raptors,Toronto Raptors,Miami Heat
133,133,857400,2022-10-24,115,4,False,2022,102,20,22,Orlando Magic,Orlando Magic,New York Knicks
134,134,857403,2022-10-24,120,4,False,2022,106,23,12,Indiana Pacers,Indiana Pacers,Philadelphia 76ers
135,135,857409,2022-10-25,113,4,False,2022,111,19,7,Dallas Mavericks,Dallas Mavericks,New Orleans Pelicans
136,136,857404,2022-10-24,134,4,False,2022,124,15,3,Brooklyn Nets,Brooklyn Nets,Memphis Grizzlies
137,137,857408,2022-10-25,134,4,False,2022,105,24,10,Golden State Warriors,Golden State Warriors,Phoenix Suns
138,138,857402,2022-10-24,120,4,False,2022,102,5,2,Boston Celtics,Boston Celtics,Chicago Bulls
139,139,857415,2022-10-26,124,4,False,2022,109,5,12,Indiana Pacers,Indiana Pacers,Chicago Bulls
140,140,857405,2022-10-24,135,4,False,2022,110,25,8,Denver Nuggets,Denver Nuggets,Portland Trail Blazers
141,141,857413,2022-10-26,103,4,False,2022,92,6,22,Orlando Magic,Orlando Magic,Cleveland Cavaliers
142,142,857414,2022-10-26,134,5,False,2022,131,20,4,Charlotte Hornets,Charlotte Hornets,New York Knicks
143,143,857407,2022-10-25,120,4,False,2022,99,30,9,Detroit Pistons,Detroit Pistons,Washington Wizards
144,144,857411,2022-10-26,110,4,False,2022,99,8,14,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets
145,145,857417,2022-10-26,110,4,False,2022,99,17,3,Brooklyn Nets,Brooklyn Nets,Milwaukee Bucks
146,146,857412,2022-10-26,119,4,False,2022,109,28,23,Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors
147,147,857416,2022-10-26,134,4,False,2022,122,18,27,San Antonio Spurs,San Antonio Spurs,Minnesota Timberwolves
148,148,857410,2022-10-26,98,4,False,2022,119,25,16,Miami Heat,Miami Heat,Portland Trail Blazers
149,149,858055,2023-01-22,116,4,False,2022,120,10,3,Brooklyn Nets,Brooklyn Nets,Golden State Warriors
150,150,858047,2023-01-21,114,4,False,2022,102,6,17,Milwaukee Bucks,Milwaukee Bucks,Cleveland Cavaliers
151,151,858063,2023-01-23,133,4,False,2022,100,26,15,Memphis Grizzlies,Memphis Grizzlies,Sacramento Kings
152,152,858072,2023-01-24,128,4,False,2022,97,24,4,Charlotte Hornets,Charlotte Hornets,Phoenix Suns
153,153,858077,2023-01-25,137,4,False,2022,133,23,3,Brooklyn Nets,Brooklyn Nets,Philadelphia 76ers
154,154,858085,2023-01-26,111,4,False,2022,96,4,5,Chicago Bulls,Chicago Bulls,Charlotte Hornets
155,155,858159,2023-02-05,128,4,False,2022,98,18,8,Denver Nuggets,Denver Nuggets,Minnesota Timberwolves
156,156,858163,2023-02-06,116,4,False,2022,124,3,13,LA Clippers,LA Clippers,Brooklyn Nets
157,157,858173,2023-02-07,104,4,False,2022,89,15,5,Chicago Bulls,Chicago Bulls,Memphis Grizzlies
158,158,858188,2023-02-09,106,4,False,2022,115,14,17,Milwaukee Bucks,Milwaukee Bucks,Los Angeles Lakers
159,159,858201,2023-02-11,127,4,False,2022,113,30,12,Indiana Pacers,Indiana Pacers,Washington Wizards
160,160,858220,2023-02-13,117,4,False,2022,123,12,29,Utah Jazz,Utah Jazz,Indiana Pacers
161,161,858226,2023-02-14,134,4,False,2022,124,13,10,Golden State Warriors,Golden State Warriors,LA Clippers
162,162,858232,2023-02-15,101,4,False,2022,122,1,20,New York Knicks,New York Knicks,Atlanta Hawks
163,163,858245,2023-02-23,124,4,False,2022,111,14,10,Golden State Warriors,Golden State Warriors,Los Angeles Lakers
164,164,858251,2023-02-24,175,6,False,2022,176,13,26,Sacramento Kings,Sacramento Kings,LA Clippers
165,165,858261,2023-02-25,118,4,False,2022,102,29,27,San Antonio Spurs,San Antonio Spurs,Utah Jazz
166,166,858268,2023-02-26,108,4,False,2022,111,7,14,Los Angeles Lakers,Los Angeles Lakers,Dallas Mavericks
167,167,858283,2023-02-28,117,4,False,2022,123,21,26,Sacramento Kings,Sacramento Kings,Oklahoma City Thunder
168,168,858292,2023-03-01,117,4,False,2022,123,21,14,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder
169,169,858306,2023-03-03,113,4,False,2022,97,8,15,Memphis Grizzlies,Memphis Grizzlies,Denver Nuggets
170,170,858313,2023-03-04,110,4,False,2022,122,27,11,Houston Rockets,Houston Rockets,San Antonio Spurs
171,171,858317,2023-03-05,113,4,False,2022,105,14,10,Golden State Warriors,Golden State Warriors,Los Angeles Lakers
172,172,857440,2022-10-29,111,5,False,2022,117,7,21,Oklahoma City Thunder,Oklahoma City Thunder,Dallas Mavericks
173,173,857429,2022-10-28,111,4,False,2022,102,18,14,Los Angeles Lakers,Los Angeles Lakers,Minnesota Timberwolves
174,174,857449,2022-10-30,107,4,False,2022,98,27,18,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs
175,175,857457,2022-11-01,116,4,False,2022,108,21,22,Orlando Magic,Orlando Magic,Oklahoma City Thunder
176,176,857488,2022-11-05,108,4,False,2022,94,17,21,Oklahoma City Thunder,Oklahoma City Thunder,Milwaukee Bucks
